ck2_key,ck3_key,scale,note,status
galleys,,,CK3 has no navy - emit as comment,none
garrison_size,garrison_size,1,both are a fraction of the base garrison,exact
general_opinion,general_opinion,1,same key and range,exact
giant_group_opinion,<ck3_culture>_opinion,1,CK2 <culture|culture_group>_opinion; CK3 supports <culture>_opinion only (no culture-group scope) and the key must be declared in common/modifier_definition_formats/ - needs the culture map from the cultures lane,approx
giant_troops,,,Faerun special unit; needs a new CK3 men_at_arms_type - emit as comment,none
giant_troops_defensive,,,Faerun special unit; needs a new CK3 men_at_arms_type - emit as comment,none
giant_troops_offensive,,,Faerun special unit; needs a new CK3 men_at_arms_type - emit as comment,none
giantkin_group_opinion,<ck3_culture>_opinion,1,CK2 <culture|culture_group>_opinion; CK3 supports <culture>_opinion only (no culture-group scope) and the key must be declared in common/modifier_definition_formats/ - needs the culture map from the cultures lane,approx
gith_group_opinion,<ck3_culture>_opinion,1,CK2 <culture|culture_group>_opinion; CK3 supports <culture>_opinion only (no culture-group scope) and the key must be declared in common/modifier_definition_formats/ - needs the culture map from the cultures lane,approx
global_levy_size,levy_size,1,CK2 realm-wide; CK3 levy_size is holding/county scope - apply per holding,approx
global_revolt_risk,county_opinion_add,-100,"CK2 revolt risk is a 0..1 fraction; CK3 models unrest as county opinion -100..100, sign flips",approx
global_supply_limit,supply_limit_mult,1,CK2 realm-wide fraction -> CK3 supply limit multiplier,approx
global_tax_modifier,domain_tax_mult,1,CK2 realm-wide tax fraction -> CK3 domain tax multiplier,approx
global_winter_supply,,,CK3 has no winter supply channel - emit as comment,none
gnome_group_opinion,<ck3_culture>_opinion,1,CK2 <culture|culture_group>_opinion; CK3 supports <culture>_opinion only (no culture-group scope) and the key must be declared in common/modifier_definition_formats/ - needs the culture map from the cultures lane,approx
goblinoid_group_opinion,<ck3_culture>_opinion,1,CK2 <culture|culture_group>_opinion; CK3 supports <culture>_opinion only (no culture-group scope) and the key must be declared in common/modifier_definition_formats/ - needs the culture map from the cultures lane,approx
good_human_pantheon_group_opinion,<ck3_religion>_religion_opinion,1,CK2 <religion_group>_opinion -> CK3 <religion>_religion_opinion (00_religion_definitions.txt:1); must be declared in common/modifier_definition_formats/,approx
gunpowder_troops,gunpowder_damage_mult,1,CK3 gunpowder MAA category (MPO),approx
gunpowder_troops_morale,,,CK3 removed army morale - emit as comment,none
gunpowder_troops_offensive,gunpowder_damage_mult,1,CK2 special-unit offensive -> CK3 damage,approx
health,health,1,"strong 1 -> physique_good_3 1 and weak -1 -> physique_bad_3 -1 both match exactly (CK2 00_traits.txt:1082,1101 vs CK3 00_traits.txt:7649,7507); only ill disagrees (CK2 -2 vs CK3 -1)",exact
health_penalty,health,1,"CK2 separate health-penalty channel (00_traits.txt:434 leper); fold into CK3 health. CK2 illness values run to -7, CK3 illness health stops at -1 - cap or use an override",approx
heavy_infantry,heavy_infantry_damage_mult,1,in command_modifier a % bonus -> CK3 MAA damage; in a building a flat troop count -> comment,approx
hidden_combat_rating,prowess_no_portrait,0.1,same 0.1 scale as combat_rating; CK3 prowess_no_portrait does not change the portrait,approx
high_elf_group_opinion,<ck3_culture>_opinion,1,CK2 <culture|culture_group>_opinion; CK3 supports <culture>_opinion only (no culture-group scope) and the key must be declared in common/modifier_definition_formats/ - needs the culture map from the cultures lane,approx
horse_archers,archer_cavalry_damage_mult,1,CK2 horse archers -> CK3 archer cavalry,approx
horse_archers_offensive,archer_cavalry_damage_mult,1,CK2 special-unit offensive -> CK3 damage,approx
humanoid_group_opinion,<ck3_religion>_religion_opinion,1,CK2 <religion_group>_opinion -> CK3 <religion>_religion_opinion (00_religion_definitions.txt:1); must be declared in common/modifier_definition_formats/,approx
illithid_pantheon_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
infernal_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
infidel_opinion,different_faith_opinion,1,CK2 infidel -> CK3 different faith,exact
interloper_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
intrigue,intrigue,1,same additive attribute point,exact
intrigue_penalty,intrigue,1,CK2 splits attribute bonus and attribute penalty; CK3 has one additive key - sum both into it,approx
karaturan_group_opinion,<ck3_religion>_religion_opinion,1,CK2 <religion_group>_opinion -> CK3 <religion>_religion_opinion (00_religion_definitions.txt:1); must be declared in common/modifier_definition_formats/,approx
kiaransalee_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
knights,knight_limit,1,CK2 building grants flat knight troops; CK3 knight_limit is a knight count,approx
kobold_opinion,<ck3_culture>_opinion,1,CK2 <culture|culture_group>_opinion; CK3 supports <culture>_opinion only (no culture-group scope) and the key must be declared in common/modifier_definition_formats/ - needs the culture map from the cultures lane,approx
kossuth_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
land_morale,,,CK3 removed army morale - emit as comment,none
land_organisation,,,CK2 levy organisation; no CK3 equivalent - emit as comment,none
learning,learning,1,same additive attribute point,exact
learning_penalty,learning,1,CK2 splits attribute bonus and attribute penalty; CK3 has one additive key - sum both into it,approx
levy_reinforce_rate,levy_reinforcement_rate,1,same fraction,exact
levy_size,levy_size,1,both are a fraction of the holding levy; CK3 also has the flat building field `levy`,exact
liege_opinion,liege_opinion,1,both mean 'my liege's opinion of me'; CK3 opinion_of_liege is the reverse direction,exact
liege_piety,monthly_piety,1,building grants it to the liege; in CK3 put it in county_holder_character_modifier,approx
liege_prestige,monthly_prestige,1,building grants it to the liege; in CK3 put it in county_holder_character_modifier,approx
light_cavalry,light_cavalry_damage_mult,1,in command_modifier a % bonus -> CK3 MAA damage; in a building a flat troop count -> comment,approx
light_infantry,skirmishers_damage_mult,1,"in command_modifier a % bonus -> CK3 MAA damage; in a building a flat troop count -> no CK3 equivalent, emit as comment",approx
local_build_cost_modifier,holding_build_gold_cost,1,CK2 province scope; put it in the CK3 building's province_modifier,approx
local_build_time_modifier,holding_build_speed,1,CK2 province scope; put it in the CK3 building's province_modifier,approx
local_revolt_risk,county_opinion_add,-100,"same derivation as global_revolt_risk, applied to one county",approx
lolth_cult_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
loyal_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
martial,martial,1,same additive attribute point,exact
martial_penalty,martial,1,CK2 splits attribute bonus and attribute penalty; CK3 has one additive key - sum both into it,approx
max_tradeposts,,,CK2 republic trade posts; no CK3 equivalent - emit as comment,none
mercantile_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
military_techpoints,development_growth,1,CK2 military tech points; CK3 has no per-category tech - use development growth,approx
mob_troops,,,Faerun special unit; needs a new CK3 men_at_arms_type - emit as comment,none
monthly_character_piety,monthly_piety,1,"same units; CK2 absmax 1.0, CK3 absmax 2.0",exact
monthly_character_prestige,monthly_prestige,1,"same units; CK2 absmax 2.0, CK3 absmax 2.0",exact
monthly_character_wealth,monthly_income,1,flat monthly gold both sides,exact
monthly_grace,,,offmap-power (China) currency; no CK3 equivalent - emit as comment,none
morale_defence,,,CK3 removed army morale - emit as comment,none
morale_offence,,,CK3 removed army morale - emit as comment,none
moved_capital_months_mult,,,CK2 capital-move cooldown; no CK3 equivalent - emit as comment,none
murder_plot_power_modifier,owned_hostile_scheme_success_chance_add,100,CK3 has no murder-only success modifier; nearest is all hostile schemes,approx
muslim_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
narrow_flank,,,CK3 battles have no flanks - emit as comment,none
northlander_opinion,<ck3_culture>_opinion,1,CK2 <culture|culture_group>_opinion; CK3 supports <culture>_opinion only (no culture-group scope) and the key must be declared in common/modifier_definition_formats/ - needs the culture map from the cultures lane,approx
opinion_of_faceless_god,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
opinion_of_loyal,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
opinion_of_patron_auril,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
opinion_of_patron_bahamut,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
opinion_of_patron_bane,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
opinion_of_patron_bhaal,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
opinion_of_patron_deneir,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
opinion_of_patron_gilgeam,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
opinion_of_patron_gruumsh,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
opinion_of_patron_helm,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
opinion_of_patron_kossuth,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
opinion_of_patron_malar,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
opinion_of_patron_mask,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
opinion_of_patron_mielikki,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
opinion_of_patron_myrkul,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
opinion_of_patron_mystra,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
opinion_of_patron_shar,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
opinion_of_patron_siamorphe,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
opinion_of_patron_sseth,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
opinion_of_patron_sune,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
opinion_of_patron_talona,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
opinion_of_patron_tiamat,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
opinion_of_patron_umberlee,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
opposite_opinion,opposite_opinion,1,CK3 trait field (_traits.info:147),exact
orc_group_opinion,<ck3_culture>_opinion,1,CK2 <culture|culture_group>_opinion; CK3 supports <culture>_opinion only (no culture-group scope) and the key must be declared in common/modifier_definition_formats/ - needs the culture map from the cultures lane,approx
orc_pantheon_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
orc_reformed_opinion,<ck3_faith>_opinion,1,CK2 <religion>_opinion -> CK3 <faith>_opinion; the key must be declared in common/modifier_definition_formats/ (00_religion_definitions.txt) - needs the faith map from the religions lane,approx
pagan_group_opinion,<ck3_religion>_religion_opinion,1,CK2 <religion_group>_opinion -> CK3 <religion>_religion_opinion (00_religion_definitions.txt:1); must be declared in common/modifier_definition_formats/,approx
patron_abbathor_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_amaunator_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_auril_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_azuth_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_bahamut_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_bane_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_bhaal_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_chauntea_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_deneir_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_fzoul_chembryl_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_garagos_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_gilgeam_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_gond_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_gruumsh_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_helm_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_hoar_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_iyachtu_xvim_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_jergal_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_kelemvor_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_kossuth_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_lliira_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_malar_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_mask_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
patron_mielikki_opinion,,,CK2 <trait>_opinion / opinion_of_<trait>: CK3 has no per-trait opinion modifier - emit as a `compatibility = { <trait> = X }` entry in the trait block (_traits.info:160) and a comment,none
