ck2_key,ck3_key,status,note,ck3_evidence
rebel_inherited,,none,CK2 rebel inheritance flag; no CK3 equivalent - emit as comment,
religious,,none,CK2 trait is lost on religion change; CK3 has no such property - emit as comment,
religious_branch,,none,CK2 religious branch restriction; use a CK3 potential trigger instead,common/traits/_traits.info:60
ruler_designer_cost,ruler_designer_cost,exact,"same key, integer cost",common/traits/_traits.info:179
same_opinion,same_opinion,exact,"same key, same -100..100 opinion points",common/traits/_traits.info:134
same_opinion_if_same_religion,same_opinion_if_same_faith,exact,CK2 religion -> CK3 faith; same value range,common/traits/_traits.info:136
same_trait_visibility,,none,CK3 has no per-observer trait visibility - emit as comment,
succession_gfx,,none,CK2 succession portrait gfx; no CK3 equivalent - emit as comment,
trigger,potential,approx,CK2 traits use trigger inside is_visible/customizer; the CK3 gate on gaining a trait is potential,common/traits/_traits.info:60
vice,flag,approx,CK3 flags are free-form; declare flag = vice and read it with has_trait_with_flag,common/traits/_traits.info:181
virtue,flag,approx,CK3 flags are free-form; declare flag = virtue and read it with has_trait_with_flag,common/traits/_traits.info:181
(none),category,exact,CK3-only: mandatory for personality/education/childhood/commander/lifestyle/health traits,common/traits/_traits.info:41
(none),level,exact,"CK3-only: tier inside a trait group, used by the congenital tiers (intellect_good_1..3)",common/traits/_traits.info:169
(none),group,exact,CK3-only: trait group for inheritance and equivalence; needed to port CK2 tiered traits,common/traits/_traits.info:171
(none),flag,exact,CK3-only: free-form marker read by has_trait_with_flag; the landing place for CK2 booleans with no CK3 property,common/traits/_traits.info:181
(none),genetic,exact,CK3-only: replaces CK2 congenital plus inherit_chance for genetic traits,common/traits/_traits.info:79
(none),physical,exact,CK3-only: marks a bodily trait; set it on ported CK2 congenital body traits,common/traits/_traits.info:73
(none),can_have_children,exact,CK3-only: CK2 has no trait-level fertility block,common/traits/_traits.info:77
(none),random_creation,exact,"CK3-only: percent chance on character creation, distinct from birth",common/traits/_traits.info:108
(none),compatibility,exact,CK3-only: the replacement for CK2 <trait>_opinion / opinion_of_<trait> modifiers,common/traits/_traits.info:157
(none),triggered_opinion,exact,CK3-only: conditional opinion modifier block,common/traits/_traits.info:141
(none),tracks,exact,"CK3-only: XP level tracks, the replacement for CK2 tiered lifestyle traits",common/traits/_traits.info:193
(none),culture_modifier,exact,CK3-only: modifiers gated on a culture parameter; vanilla brave uses it for county_opinion_add,common/traits/_traits.info:236
(none),faith_modifier,exact,CK3-only: modifiers gated on a faith doctrine parameter,common/traits/_traits.info:242
(none),trait_exclusive_if_realm_contains,exact,"CK3-only: terrain gate for commander traits, the nearest thing to CK2 command_modifier terrain lists",common/traits/_traits.info:104
(none),valid_sex,exact,CK3-only: restricts the trait to one sex,common/traits/_traits.info:55
(none),minimum_age,exact,CK3-only: age gate,common/traits/_traits.info:57
(none),maximum_age,exact,CK3-only: age gate,common/traits/_traits.info:58
